"","type","numNodes","numEdges","sampnodes","sampedges","Samplingrate","ActualDensity","SampledDensity","ActualCommunitysize","SampledCommunitysize","actualmodularity","sampledmodularity","Lcommsize_act1","Lcommsize_samp1","Lcommsize_act2","Lcommsize_samp2","Lcommsize_act3","Lcommsize_samp3","Clustcoeff_act","Clustcoeff_samp","diameter_act","diameter_samp","ks_deg","pval_deg","ks_cc","pval_cc","ks_pg","pval_pg"
"1","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2","RE","2000","299850","1967","29985","0.1","448.61582733813","45.7306002928258","12","210","0.247529804706573","0.225255563855171","502","510","501","455","500","447","0.374924956278266","0.0593761844464134","4","6","0.702283680732079","0","0.950742392444911","0","0.0250879511947128","0.560422883008882"
"3","RE","2000","299850","1968","29985","0.1","448.61582733813","45.7710144927536","12","186","0.247529804706573","0.222037151455879","502","517","501","430","500","407","0.374924956278266","0.0595043221917915","4","7","0.703174796747968","0","0.943509394572025","0","0.0216463414634146","0.741359544621498"
"4","RE","2000","299850","1964","29985","0.1","448.61582733813","45.4470426409904","12","198","0.247529804706573","0.226059943437576","502","506","501","466","500","460","0.374924956278266","0.0596802919948528","4","7","0.701762729124236","0","0.950260607647983","0","0.022133401221996","0.71666495650718"
"5","RE","2000","299850","1967","29985","0.1","448.61582733813","45.8168604651163","12","158","0.247529804706573","0.244049727916718","502","752","501","498","500","494","0.374924956278266","0.0604219896100626","4","7","0.701221657346213","0","0.943404266389178","0","0.0234400101677682","0.647141865086475"
"6","RE","2000","299850","1964","29985","0.1","448.61582733813","45.4458874458874","12","168","0.247529804706573","0.233347669243813","502","488","501","472","500","450","0.374924956278266","0.0591639415233571","4","6","0.698932790224033","0","0.946382260596546","0","0.0227953156822811","0.681821764858813"
"7","RE","2000","299850","1976","29985","0.1","448.61582733813","45.6711111111111","12","204","0.247529804706573","0.230013057589531","502","520","501","445","500","395","0.374924956278266","0.0608931431067113","4","7","0.703004048582996","0","0.949876698014629","0","0.0293947368421053","0.35689915932252"
"8","RE","2000","299850","1960","29985","0.1","448.61582733813","45.9642857142857","12","186","0.247529804706573","0.221797540783882","502","498","501","456","500","451","0.374924956278266","0.0597901099640485","4","6","0.700285714285714","0","0.944012585212376","0","0.0226734693877551","0.688882280566212"
"9","RE","2000","299850","1963","29985","0.1","448.61582733813","44.987721691678","12","177","0.247529804706573","0.234290614724159","502","526","501","459","500","428","0.374924956278266","0.0579313253071471","4","6","0.704133978604177","0","0.951604712041885","0","0.0342595517065716","0.195283283232228"
"10","RE","2000","299850","1968","29985","0.1","448.61582733813","46.2754491017964","12","227","0.247529804706573","0.222070008516312","502","505","501","451","500","445","0.374924956278266","0.0622291761163493","4","7","0.700126016260163","0","0.948012605042017","0","0.0169674796747967","0.937620117861981"
"11","RE","2000","299850","1956","29985","0.1","448.61582733813","45.5565217391304","12","162","0.247529804706573","0.227559581398964","502","507","501","477","500","453","0.374924956278266","0.0597331910157128","4","6","0.704711656441718","0","0.950502624671916","0","0.0235112474437628","0.645124687649032"
"12","RE","2000","299850","1969","29985","0.1","448.61582733813","45.7307110438729","12","202","0.247529804706573","0.224662914872169","502","514","501","484","500","419","0.374924956278266","0.0597021386605142","4","6","0.703425596749619","0","0.952178851174935","0","0.0263631284916201","0.495543954515299"
"13","RE","2000","299850","1960","29985","0.1","448.61582733813","45.4507042253521","12","214","0.247529804706573","0.224143788218498","502","515","501","475","500","397","0.374924956278266","0.0601090442396789","4","6","0.70315306122449","0","0.944876698014629","0","0.0255612244897959","0.537285359585516"
"14","RE","2000","299850","1970","29985","0.1","448.61582733813","45.9077380952381","12","193","0.247529804706573","0.232414916157722","502","513","501","472","500","449","0.374924956278266","0.0602291108888438","4","7","0.703697969543147","0","0.950770440251572","0","0.0252182741116751","0.553193412635746"
"15","RE","2000","299850","1968","29985","0.1","448.61582733813","45.4609929078014","12","197","0.247529804706573","0.232125893235207","502","493","501","468","500","458","0.374924956278266","0.0591969233441387","4","6","0.699361788617886","0","0.944067778936392","0","0.0248130081300813","0.574537416753504"
"16","RE","2000","299850","1966","29985","0.1","448.61582733813","45.956204379562","12","202","0.247529804706573","0.22425477206707","502","503","501","463","500","414","0.374924956278266","0.0609004839557492","4","7","0.699798067141404","0","0.946505241090147","0","0.0206027466937945","0.793996642976411"
"17","RE","2000","299850","1978","29985","0.1","448.61582733813","45.6355421686747","12","214","0.247529804706573","0.226147308945656","502","602","501","506","500","452","0.374924956278266","0.0603516371512295","4","8","0.702076845298281","0","0.941448186528497","0","0.0186931243680485","0.877883546998202"
